distamce,N52,N54,N82,N84,N112,N114,N142,N144,N172,N174,N202,N204,N232,N234,N262,N264,N292,N294,N322,N324,N352,N354,N382,N384,N412,N414
N52,0,1.85,3,3.85,6,6.28,9,9.19,12,12.14,15,15.11,18,18.09,21,21.08,24,24.07,27,27.06,30,30.06,33,33.05,36,36.05
N54,1.85,0,3.52,3,6.28,6,9.19,9,12.14,12,15.11,15,18.09,18,21.08,21,24.07,24,27.06,27,30.06,30,33.05,33,36.05,36
N82,3,3.52,0,1.85,3,3.85,6,6.28,9,9.19,12,12.14,15,15.11,18,18.09,21,21.08,24,24.07,27,27.06,30,30.06,33,33.05
N84,3.52,3,1.85,0,3.52,3,6.28,6,9.19,9,12.14,12,15.11,15,18.09,18,21.08,21,24.07,24,27.06,27,30.06,30,33.05,33
N112,6,6.28,3,3.52,0,1.85,3,3.85,6,6.28,9,9.19,12,12.14,15,15.11,18,18.09,21,21.08,24,24.07,27,27.06,30,30.06
N114,6.28,6,3.52,3,1.85,0,3.52,3,6.28,6,9.19,9,12.14,12,15.11,15,18.09,18,21.08,21,24.07,24,27.06,27,30.06,30
N142,9,9.19,6,6.28,3,3.52,0,1.85,3,3.85,6,6.28,9,9.19,12,12.14,15,15.11,18,18.09,21,21.08,24,24.07,27,27.06
N144,9.19,9,6.28,6,3.52,3,1.85,0,3.52,3,6.28,6,9.19,9,12.14,12,15.11,15,18.09,18,21.08,21,24.07,24,27.06,27
N172,12,12.14,9,9.19,6,6.28,3,3.52,0,1.85,3,3.85,6,6.28,9,9.19,12,12.14,15,15.11,18,18.09,21,21.08,24,24.07
N174,12.14,12,9.19,9,6.28,6,3.52,3,1.85,0,3.52,3,6.28,6,9.19,9,12.14,12,15.11,15,18.09,18,21.08,21,24.07,24
N202,15,15.11,12,12.14,9,9.19,6,6.28,3,3.52,0,1.85,3,3.85,6,6.28,9,9.19,12,12.14,15,15.11,18,18.09,21,21.08
N204,15.11,15,12.14,12,9.19,9,6.28,6,3.52,3,1.85,0,3.52,3,6.28,6,9.19,9,12.14,12,15.11,15,18.09,18,21.08,21
N232,18,18.09,15,15.11,12,12.14,9,9.19,6,6.28,3,3.52,0,1.85,3,3.85,6,6.28,9,9.19,12,12.14,15,15.11,18,18.09
N234,18.09,18,15.11,15,12.14,12,9.19,9,6.28,6,3.52,3,1.85,0,3.52,3,6.28,6,9.19,9,12.14,12,15.11,15,18.09,18
N262,21,21.08,18,18.09,15,15.11,12,12.14,9,9.19,6,6.28,3,3.52,0,1.85,3,3.85,6,6.28,9,9.19,12,12.14,15,15.11
N264,21.08,21,18.09,18,15.11,15,12.14,12,9.19,9,6.28,6,3.52,3,1.85,0,3.52,3,6.28,6,9.19,9,12.14,12,15.11,15
N292,24,24.07,21,21.08,18,18.09,15,15.11,12,12.14,9,9.19,6,6.28,3,3.52,0,1.85,3,3.85,6,6.28,9,9.19,12,12.14
N294,24.07,24,21.08,21,18.09,18,15.11,15,12.14,12,9.19,9,6.28,6,3.52,3,1.85,0,3.52,3,6.28,6,9.19,9,12.14,12
N322,27,27.06,24,24.07,21,21.08,18,18.09,15,15.11,12,12.14,9,9.19,6,6.28,3,3.52,0,1.85,3,3.85,6,6.28,9,9.19
N324,27.06,27,24.07,24,21.08,21,18.09,18,15.11,15,12.14,12,9.19,9,6.28,6,3.52,3,1.85,0,3.52,3,6.28,6,9.19,9
N352,30,30.06,27,27.06,24,24.07,21,21.08,18,18.09,15,15.11,12,12.14,9,9.19,6,6.28,3,3.52,0,1.85,3,3.85,6,6.28
N354,30.06,30,27.06,27,24.07,24,21.08,21,18.09,18,15.11,15,12.14,12,9.19,9,6.28,6,3.52,3,1.85,0,3.52,3,6.28,6
N382,33,33.05,30,30.06,27,27.06,24,24.07,21,21.08,18,18.09,15,15.11,12,12.14,9,9.19,6,6.28,3,3.52,0,1.85,3,3.85
N384,33.05,33,30.06,30,27.06,27,24.07,24,21.08,21,18.09,18,15.11,15,12.14,12,9.19,9,6.28,6,3.52,3,1.85,0,3.52,3
N412,36,36.05,33,33.05,30,30.06,27,27.06,24,24.07,21,21.08,18,18.09,15,15.11,12,12.14,9,9.19,6,6.28,3,3.52,0,1.85
N414,36.05,36,33.05,33,30.06,30,27.06,27,24.07,24,21.08,21,18.09,18,15.11,15,12.14,12,9.19,9,6.28,6,3.52,3,1.85,0
